dataset,detector,seed,support,score_floor,images,detections_per_image,zero_detection_images,percent_zero_detection_images,detection_count,min,max,mean,median,q_0.01,q_0.05,q_0.25,q_0.5,q_0.75,q_0.95,q_0.99
external,faster_rcnn,137,historical_threshold,0.69,3000,0.015333333333333332,2955,98.5,46,0.6907677054405212,0.8028648495674133,0.7223543239676434,0.7104518413543701,0.6910257071256638,0.6914582401514053,0.6983290463685989,0.7104518413543701,0.7377364337444305,0.7815589904785156,0.7982929438352585
external,faster_rcnn,137,posthoc_n5_threshold,0.7,3000,0.011,2968,98.93333333333332,33,0.7024790048599243,0.8028648495674133,0.7335946198665735,0.7227227091789246,0.703130841255188,0.7048512697219849,0.7093715667724609,0.7227227091789246,0.7546439170837402,0.7862803816795348,0.7996137166023254
external,faster_rcnn,271,all_retained_candidates,1e-05,3000,100.0,0,0.0,300000,1.0209440915787127e-05,0.9688562154769897,0.001567552875124687,6.631065480178222e-05,1.6636307918815874e-05,2.3923508706502616e-05,4.182262273388915e-05,6.631065480178222e-05,0.00012731103925034404,0.000807230535428971,0.01279651839286089
external,faster_rcnn,271,ap_candidates,0.001,3000,4.337,229,7.633333333333334,13011,0.0010005044750869274,0.9688562154769897,0.03379322520142473,0.0031419473234564066,0.0010162439430132508,0.0010838276939466596,0.0015700474614277482,0.0031419473234564066,0.01108286390081048,0.17040477693080902,0.7036507546901662
external,faster_rcnn,271,historical_threshold,0.69,3000,0.04466666666666667,2884,96.13333333333334,134,0.6925380229949951,0.9688562154769897,0.8100269454628674,0.7975944578647614,0.6931245279312134,0.7118444830179215,0.7416856735944748,0.7975944578647614,0.8737514466047287,0.9258889198303223,0.9531297904253005
external,faster_rcnn,271,posthoc_n5_threshold,0.7,3000,0.043666666666666666,2887,96.23333333333333,131,0.7047700881958008,0.9688562154769897,0.8127068253873869,0.8031737804412842,0.7075903296470643,0.7142793238162994,0.7429115176200867,0.8031737804412842,0.875278115272522,0.9259692430496216,0.9531745135784149
external,faster_rcnn,314,all_retained_candidates,1e-05,3000,82.802,0,0.0,248406,1.0011975064116996e-05,0.9774138927459717,0.001330694059320958,2.2125668692751788e-05,1.012999018712435e-05,1.0741272490122356e-05,1.434142905054614e-05,2.2125668692751788e-05,4.400118632474914e-05,0.0003269453009124845,0.00594559870660305
external,faster_rcnn,314,ap_candidates,0.001,3000,2.076,830,27.666666666666668,6228,0.0010005044750869274,0.9774138927459717,0.05111049984604349,0.0036856739316135645,0.0010142631363123655,0.0011008767178282142,0.0016809416702017188,0.0036856739316135645,0.015513790771365166,0.3504744261503215,0.8362960028648371
external,faster_rcnn,314,historical_threshold,0.69,3000,0.043666666666666666,2882,96.06666666666666,131,0.6900894045829773,0.9774138927459717,0.833256896670538,0.8307315111160278,0.6938826858997345,0.7163911461830139,0.7741556763648987,0.8307315111160278,0.8909565210342407,0.9469768404960632,0.9629385232925415
external,faster_rcnn,314,posthoc_n5_threshold,0.7,3000,0.042333333333333334,2884,96.13333333333334,127,0.7076067924499512,0.9774138927459717,0.8376527527185875,0.8354163765907288,0.7132342422008514,0.7361989974975586,0.7808147966861725,0.8354163765907288,0.8928395807743073,0.9474671006202697,0.9630187940597534
