dataset,estimand,metric,bootstrap_resamples,a_estimate,a_ci_low,a_ci_high,a_valid,a_undefined,b_estimate,b_ci_low,b_ci_high,b_valid,b_undefined,difference_estimate,difference_ci_low,difference_ci_high,difference_valid,difference_undefined,reason
external,training_procedure,froc_0.25,2000,0.0863157894736842,0.03703344120819849,0.15384955752212387,2000,0,0.033684210526315796,0.00888644688644689,0.07126493683851143,2000,0,0.05263157894736841,0.005345165505226504,0.11347052845528449,2000,0,
external,training_procedure,froc_0.5,2000,0.09473684210526315,0.044736068111455106,0.1618424947145876,2000,0,0.06105263157894737,0.024786761266178087,0.10667326732673263,2000,0,0.033684210526315775,-0.014829059829059785,0.09231249999999998,2000,0,
external,training_procedure,froc_1,2000,0.11789473684210525,0.05687917014178483,0.19382344109698724,2000,0,0.07789473684210527,0.03719743711438066,0.13258649460451663,2000,0,0.03999999999999998,-0.020938891637803044,0.10870048309178744,2000,0,
external,training_procedure,froc_2,2000,0.16421052631578947,0.09165277777777779,0.2538541666666666,2000,0,0.09894736842105264,0.04841534559289792,0.1555691056910568,2000,0,0.06526315789473683,-0.005663098693759065,0.149395797990343,2000,0,
external,training_procedure,primary_precision,2000,0.010830209796318482,0.0,0.028885686161613744,2000,0,0.004270937604270937,0.0,0.016442410487787176,2000,0,0.006559272192047545,-0.008359666306323326,0.02566415510791049,2000,0,
external,training_procedure,primary_recall,2000,0.018947368421052633,0.0,0.04921075837742502,2000,0,0.004210526315789474,0.0,0.01628025628856193,2000,0,0.01473684210526316,-0.004879554351099064,0.04548484848484832,2000,0,
external,training_procedure,primary_f1,2000,0.01358021221606645,0.0,0.035311516899166784,2000,0,0.004214474845542807,0.0,0.01651858601541292,2000,0,0.009365737370523644,-0.006375684630273732,0.03168481759972572,2000,0,
external,training_procedure,primary_fp_per_image,2000,0.04766666666666667,0.028265000000000005,0.067935,2000,0,0.027066666666666666,0.012195000000000008,0.0402,2000,0,0.020600000000000004,-0.001734999999999997,0.04567166666666664,2000,0,
external,checkpoint_conditional_seed17,ap50,2000,0.0011723208373017183,0.0003482720804164853,0.004486765872038818,2000,0,0.0007582470309287738,9.623224420149825e-05,0.003093792744628104,2000,0,0.0004140738063729445,-0.0005526290989707468,0.0024012842510891703,2000,0,
external,checkpoint_conditional_seed17,ap50_95,2000,0.00041848042690111064,7.860968606437068e-05,0.0018872158125375668,2000,0,0.0001291416343232809,1.7608512067912224e-05,0.0005570237746180256,2000,0,0.00028933879257782974,-3.0204127161737084e-05,0.001453964831217298,2000,0,
external,checkpoint_conditional_seed17,froc_0.125,2000,0.042105263157894736,0.0,0.0853822449514817,2000,0,0.021052631578947368,0.0,0.06,2000,0,0.021052631578947368,-0.010752688172043008,0.052083333333333336,2000,0,
external,checkpoint_conditional_seed17,froc_0.25,2000,0.05263157894736842,0.011904761904761904,0.102803738317757,2000,0,0.05263157894736842,0.012048192771084338,0.11000229357798164,2000,0,0.0,-0.05128865979381442,0.047058823529411764,2000,0,
external,checkpoint_conditional_seed17,froc_0.5,2000,0.05263157894736842,0.011904761904761904,0.102803738317757,2000,0,0.08421052631578947,0.03332417582417584,0.14608239700374523,2000,0,-0.031578947368421054,-0.08849837571412568,0.02299518845228545,2000,0,
external,checkpoint_conditional_seed17,froc_1,2000,0.05263157894736842,0.011904761904761904,0.102803738317757,2000,0,0.10526315789473684,0.05049242424242426,0.17894736842105263,2000,0,-0.05263157894736842,-0.11690221543162715,0.0,2000,0,
external,checkpoint_conditional_seed17,froc_2,2000,0.08421052631578947,0.03333333333333333,0.14776972309299874,2000,0,0.14736842105263157,0.07692307692307693,0.21782178217821782,2000,0,-0.0631578947368421,-0.12499999999999999,0.0,2000,0,
external,checkpoint_conditional_seed17,primary_precision,2000,0.012295081967213115,0.0,0.028345864661654105,2000,0,0.009009009009009009,0.0,0.03150653375774831,2000,0,0.0032860729582041056,-0.012829457056583745,0.018767702955822543,2000,0,
external,checkpoint_conditional_seed17,primary_recall,2000,0.031578947368421054,0.0,0.07216805365793066,2000,0,0.010526315789473684,0.0,0.0366053111465693,2000,0,0.02105263157894737,0.0,0.05494757536041938,2000,0,
external,checkpoint_conditional_seed17,primary_f1,2000,0.017699115044247787,0.0,0.04093567251461988,2000,0,0.00970873786407767,0.0,0.033337988826815615,2000,0,0.007990377180170117,-0.008239395120521034,0.028332647312817264,2000,0,
external,checkpoint_conditional_seed17,primary_fp_per_image,2000,0.08033333333333334,0.06933333333333333,0.09133333333333334,2000,0,0.03666666666666667,0.028658333333333348,0.04500833333333329,2000,0,0.04366666666666667,0.03399166666666668,0.054333333333333324,2000,0,
