sensitivity_type,detector,seed,equal_bins_per_dimension,bins_per_dimension,minimum_samples_per_cell,confidence_floor,is_original_setting,detection_ece,detection_ece_defined,undefined_reason,total_detections_entering_calibration,baseline_floor_detection_count,detections_removed_from_baseline_floor,fraction_baseline_detections_retained,total_possible_multidimensional_cells,occupied_cells,cells_meeting_minimum_support,detections_in_supported_cells,fraction_detections_contributing_to_supported_cells,supported_cell_size_median,supported_cell_size_min,supported_cell_size_max
binning_minimum_support,yolo11s,17,3,3|3|3|3|3,8,0.001,False,0.08636380487712972,True,,1019,1019,0,1.0,243,30,17,987,0.9685966633954858,20.0,10,202
binning_minimum_support,yolo11s,17,3,3|3|3|3|3,16,0.001,False,0.0811014877359444,True,,1019,1019,0,1.0,243,30,12,936,0.9185475956820413,49.5,16,202
binning_minimum_support,yolo11s,17,5,5|5|5|5|5,1,0.001,False,0.10407070335918359,True,,1019,1019,0,1.0,3125,102,102,1019,1.0,3.0,1,93
binning_minimum_support,yolo11s,17,5,5|5|5|5|5,4,0.001,False,0.08618043448583612,True,,1019,1019,0,1.0,3125,102,47,932,0.914622178606477,11.0,4,93
binning_minimum_support,yolo11s,17,5,5|5|5|5|5,8,0.001,True,0.07141554794903528,True,,1019,1019,0,1.0,3125,102,29,835,0.8194308145240432,21.0,9,93
binning_minimum_support,yolo11s,17,5,5|5|5|5|5,16,0.001,False,0.0637643332931307,True,,1019,1019,0,1.0,3125,102,18,714,0.7006869479882237,37.5,17,93
binning_minimum_support,yolo11s,17,7,7|7|7|7|7,1,0.001,False,0.12055738532657065,True,,1019,1019,0,1.0,16807,206,206,1019,1.0,2.0,1,61
binning_minimum_support,yolo11s,17,7,7|7|7|7|7,4,0.001,False,0.08109563322631796,True,,1019,1019,0,1.0,16807,206,67,807,0.7919528949950932,6.0,4,61
binning_minimum_support,yolo11s,17,7,7|7|7|7|7,8,0.001,False,0.060284822405465815,True,,1019,1019,0,1.0,16807,206,31,628,0.6162904808635917,18.0,9,61
binning_minimum_support,yolo11s,17,7,7|7|7|7|7,16,0.001,False,0.04826117024683395,True,,1019,1019,0,1.0,16807,206,17,475,0.4661432777232581,25.0,16,61
confidence_floor,yolo11s,17,5,5|5|5|5|5,8,0.001,True,0.07141554794903528,True,,1019,1019,0,1.0,3125,102,29,835,0.8194308145240432,21.0,9,93
