detector,seed,curve,iou_definition,recall,precision,average_precision
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.72,0.020258517034327413,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.73,0.019754581938692457,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.74,0.018376492983735195,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.75,0.017805262826523355,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.76,0.016532091968739653,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.77,0.015584236880421477,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.78,0.014772803535555845,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.79,0.014027698885254245,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.8,0.013234246840529665,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.81,0.012949997775734481,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.8200000000000001,0.012651405728729729,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.8300000000000001,0.011670925855826391,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.84,0.011173344833470215,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.85,0.008591382444281283,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.86,0.00766953773183521,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.87,0.007069972259579548,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.88,0.0069367384085467585,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.89,0.006419614916409429,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.9,0.005492977065201176,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.91,0.003353030094819294,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.92,0.0030059632469271024,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.93,0.0023957834211787254,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.9400000000000001,0.0022093634928984744,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.9500000000000001,0.0018497025968373711,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.96,0.0,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.97,0.0,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.98,0.0,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,0.99,0.0,0.0983562201940088
faster_rcnn,17,ap50_95,mean IoU=0.50:0.95,1.0,0.0,0.0983562201940088
faster_rcnn,42,ap50,IoU=0.50,0.0,0.9999999999999998,0.30954831060054333
faster_rcnn,42,ap50,IoU=0.50,0.01,0.8,0.30954831060054333
faster_rcnn,42,ap50,IoU=0.50,0.02,0.8,0.30954831060054333
faster_rcnn,42,ap50,IoU=0.50,0.03,0.75,0.30954831060054333
faster_rcnn,42,ap50,IoU=0.50,0.04,0.7,0.30954831060054333
faster_rcnn,42,ap50,IoU=0.50,0.05,0.7,0.30954831060054333
faster_rcnn,42,ap50,IoU=0.50,0.06,0.7,0.30954831060054333
faster_rcnn,42,ap50,IoU=0.50,0.07,0.7,0.30954831060054333
faster_rcnn,42,ap50,IoU=0.50,0.08,0.7,0.30954831060054333
faster_rcnn,42,ap50,IoU=0.50,0.09,0.7,0.30954831060054333
faster_rcnn,42,ap50,IoU=0.50,0.1,0.7,0.30954831060054333
faster_rcnn,42,ap50,IoU=0.50,0.11,0.6976744186046512,0.30954831060054333
faster_rcnn,42,ap50,IoU=0.50,0.12,0.6666666666666666,0.30954831060054333
faster_rcnn,42,ap50,IoU=0.50,0.13,0.6666666666666666,0.30954831060054333
faster_rcnn,42,ap50,IoU=0.50,0.14,0.6551724137931034,0.30954831060054333
