detector,threshold,seed_count,sensitivity,sensitivity_std,fp_per_image,fp_per_image_std
yolo11s,0.1,5,0.15895522388059702,0.09007929478809794,0.10800000000000001,0.061910329419967464
yolo11s,0.11,5,0.15373134328358207,0.08700513244604403,0.10426666666666666,0.059265129338891644
yolo11s,0.12,5,0.14701492537313435,0.08325161211668355,0.09946666666666666,0.05700370358338326
yolo11s,0.13,5,0.14402985074626867,0.08173260250003014,0.09280000000000001,0.053354995600745345
yolo11s,0.14,5,0.1373134328358209,0.07886297971837068,0.08906666666666667,0.05147944573646197
yolo11s,0.15,5,0.13432835820895522,0.07678774487782343,0.08453333333333334,0.05003643117214141
yolo11s,0.16,5,0.13059701492537315,0.07582985609291633,0.07786666666666667,0.04632829708840064
yolo11s,0.17,5,0.12761194029850748,0.07408384525869088,0.076,0.045176198256259785
yolo11s,0.18,5,0.1238805970149254,0.07375422631187917,0.0736,0.04433609013984983
yolo11s,0.19,5,0.12014925373134329,0.07111121940042744,0.07093333333333333,0.043301526788581284
yolo11s,0.2,5,0.1164179104477612,0.06947717107127226,0.06853333333333332,0.04250594729629673
yolo11s,0.21,5,0.11119402985074626,0.06619323057283855,0.06613333333333334,0.04117820351162062
yolo11s,0.22,5,0.10671641791044777,0.06269322992310361,0.06346666666666667,0.040239284287869735
yolo11s,0.23,5,0.1044776119402985,0.061764721482264355,0.06186666666666667,0.039694388072427124
yolo11s,0.24,5,0.1,0.06139165395126531,0.06000000000000001,0.03973243846867024
yolo11s,0.25,5,0.0955223880597015,0.06066158973841962,0.05840000000000001,0.03982628947483475
yolo11s,0.26,5,0.0925373134328358,0.05860703908297631,0.05733333333333333,0.03880435256228066
yolo11s,0.27,5,0.0873134328358209,0.05619358387169164,0.05413333333333333,0.037161509358175665
yolo11s,0.28,5,0.08432835820895522,0.05699313876155978,0.05093333333333333,0.036263235131772535
yolo11s,0.29,5,0.0828358208955224,0.05801008892058214,0.048266666666666666,0.035445106228583316
yolo11s,0.3,5,0.07985074626865672,0.058440507683400617,0.04613333333333334,0.034326536544066186
yolo11s,0.31,5,0.07761194029850746,0.05716388683141057,0.04506666666666667,0.03450475007557333
yolo11s,0.32,5,0.07537313432835821,0.056181194149598226,0.04293333333333334,0.03344514580290805
yolo11s,0.33,5,0.0708955223880597,0.05458484641167087,0.04133333333333333,0.03263263533472111
yolo11s,0.34,5,0.06716417910447761,0.05452104177687484,0.03973333333333333,0.03233711318112501
yolo11s,0.35,5,0.0664179104477612,0.05511788941101988,0.03626666666666666,0.03143105329305894
yolo11s,0.36,5,0.06417910447761195,0.055307016889137285,0.03386666666666667,0.031263752529442496
yolo11s,0.37,5,0.059701492537313425,0.053619805459701166,0.032,0.03143953632680426
yolo11s,0.38,5,0.0582089552238806,0.05320272723175395,0.03093333333333333,0.030946548901111558
