detector,repetition,image_id,seconds,detections,max_boxes_absolute_error,max_scores_absolute_error
yolo11s,1,c0608b6d-a375-4cda-8133-b5ec73217435.png,0.01664600003277883,2,0.0,0.0
yolo11s,1,ddd1dc87-9c71-4728-b4a1-2c28d2e4fd8a.png,0.017007999995257705,5,0.0,0.0
yolo11s,1,f3c57937-bb53-4463-99e9-ae51e120678f.png,0.01604580000275746,0,0.0,0.0
yolo11s,1,03682e3c-d601-4e35-9ba5-06e85bba5c7c.png,0.015696600021328777,0,0.0,0.0
yolo11s,1,89e23e03-487d-49dd-ae1e-b42efe3ae119.png,0.0170145999873057,0,0.0,0.0
yolo11s,1,f623bffb-23e3-4861-a081-17ff805f9570.png,0.016668399970512837,0,0.0,0.0
yolo11s,1,9bd0edc1-d478-43b3-9f0d-809a41fe395e.png,0.016281699994578958,0,0.0,0.0
yolo11s,1,8ef2ab87-f997-405c-8ccf-b32c7efaccff.png,0.01620420004473999,0,0.0,0.0
yolo11s,1,65738ec0-4bc7-45b4-ad9c-8d1d84b1618f.png,0.017965700011700392,3,0.0,0.0
yolo11s,1,e27c61ea-5502-4033-8c74-a700de56eea4.png,0.018536899995524436,2,0.0,0.0
yolo11s,1,e6f88624-0bdb-40c3-9a36-7abe982a65c5.png,0.017628600005991757,3,0.0,0.0
yolo11s,1,6ed32587-0518-4b4b-95e6-a4b0651b1a6d.png,0.017405099992174655,10,0.0,0.0
yolo11s,1,93352cf0-4e4c-4b86-b132-c6f0c492537e.png,0.017938600038178265,0,0.0,0.0
yolo11s,1,b7bee95b-ea79-46de-ac78-94ff8328a274.png,0.016665700008161366,0,0.0,0.0
yolo11s,1,b6271674-f13d-4087-ae03-d6ae35381dfc.png,0.017289899988099933,6,0.0,0.0
yolo11s,1,4a055fd8-229a-45f7-afa1-84488eac8ae3.png,0.017733599990606308,0,0.0,0.0
yolo11s,1,6f47bae9-705f-41c8-8a28-d5cf88927b0e.png,0.016284900018945336,1,0.0,0.0
yolo11s,1,b8020472-9c2d-44ce-a09b-f5795b95f230.png,0.016884000040590763,1,0.0,0.0
yolo11s,1,13f8bb2b-9c21-4131-aee1-eef3bc0cf88b.png,0.017471699975430965,0,0.0,0.0
yolo11s,1,1871337b-8e0b-4329-93a4-b0d9afc5c814.png,0.017877399979624897,3,0.0,0.0
yolo11s,1,6fe73af9-299c-4fa8-bb73-11e4fd4398d9.png,0.016516700037755072,0,0.0,0.0
yolo11s,1,7cbb6939-4333-4f08-ae0f-b7631307775d.png,0.01653329998953268,0,0.0,0.0
yolo11s,1,74b0e0b5-eaa2-4112-a15a-e3b883907053.png,0.0158431000309065,0,0.0,0.0
yolo11s,1,e5609023-683a-4582-a9e4-81aa527bb63c.png,0.016981400025542825,3,0.0,0.0
yolo11s,1,47be0a9e-b6f7-4104-ab24-f3671287aead.png,0.017467700003180653,0,0.0,0.0
yolo11s,1,d1a35ffa-157f-4e1b-8656-72b40ecff775.png,0.017701399978250265,0,0.0,0.0
yolo11s,1,38e001a1-f518-4dc3-bdf7-b568ba90f512.png,0.01728289999300614,0,0.0,0.0
yolo11s,1,28ba0617-0cac-4198-8b8a-c35fde545ace.png,0.017796600004658103,6,0.0,0.0
yolo11s,1,00313ee0-9eaa-42f4-b0ab-c148ed3241cd.png,0.017163500015158206,0,0.0,0.0
yolo11s,1,64261ed9-63ec-457f-a7ae-a7ce346ed938.png,0.017261700006201863,7,0.0,0.0
yolo11s,1,3e5d2773-d4a8-42eb-bc5a-395bf04b0ac3.png,0.016307000012602657,0,0.0,0.0
yolo11s,1,d8cf8e37-9ba7-47ea-9e78-0c635e550583.png,0.017321999999694526,3,0.0,0.0
yolo11s,1,b0469327-31ae-457e-b1d8-31d1a99fc0d6.png,0.016400999971665442,0,0.0,0.0
yolo11s,1,17764c35-e511-4ff1-a7d1-cc5d670b0f08.png,0.017143200035206974,6,0.0,0.0
