detector,seed,threshold,sensitivity,false_positives,fp_per_image
faster_rcnn,42,0.08,0.6455223880597015,1008,1.344
faster_rcnn,42,0.09,0.6380597014925373,959,1.2786666666666666
faster_rcnn,42,0.1,0.6305970149253731,911,1.2146666666666666
faster_rcnn,42,0.11,0.6194029850746269,867,1.156
faster_rcnn,42,0.12,0.6156716417910447,837,1.116
faster_rcnn,42,0.13,0.6119402985074627,805,1.0733333333333333
faster_rcnn,42,0.14,0.6082089552238806,761,1.0146666666666666
faster_rcnn,42,0.15,0.6082089552238806,736,0.9813333333333333
faster_rcnn,42,0.16,0.6082089552238806,718,0.9573333333333334
faster_rcnn,42,0.17,0.6044776119402985,691,0.9213333333333333
faster_rcnn,42,0.18,0.5932835820895522,673,0.8973333333333333
faster_rcnn,42,0.19,0.5895522388059702,656,0.8746666666666667
faster_rcnn,42,0.2,0.585820895522388,641,0.8546666666666667
faster_rcnn,42,0.21,0.585820895522388,626,0.8346666666666667
faster_rcnn,42,0.22,0.585820895522388,610,0.8133333333333334
faster_rcnn,42,0.23,0.585820895522388,601,0.8013333333333333
faster_rcnn,42,0.24,0.582089552238806,592,0.7893333333333333
faster_rcnn,42,0.25,0.582089552238806,577,0.7693333333333333
faster_rcnn,42,0.26,0.582089552238806,565,0.7533333333333333
faster_rcnn,42,0.27,0.582089552238806,552,0.736
faster_rcnn,42,0.28,0.5746268656716418,537,0.716
faster_rcnn,42,0.29,0.5746268656716418,531,0.708
faster_rcnn,42,0.3,0.5708955223880597,523,0.6973333333333334
faster_rcnn,42,0.31,0.5708955223880597,515,0.6866666666666666
faster_rcnn,42,0.32,0.5597014925373134,508,0.6773333333333333
faster_rcnn,42,0.33,0.5597014925373134,498,0.664
faster_rcnn,42,0.34,0.5522388059701493,487,0.6493333333333333
faster_rcnn,42,0.35,0.5447761194029851,477,0.636
faster_rcnn,42,0.36,0.5373134328358209,459,0.612
faster_rcnn,42,0.37,0.5261194029850746,450,0.6
faster_rcnn,42,0.38,0.5261194029850746,443,0.5906666666666667
faster_rcnn,42,0.39,0.5223880597014925,431,0.5746666666666667
faster_rcnn,42,0.4,0.5223880597014925,423,0.564
faster_rcnn,42,0.41,0.5186567164179104,418,0.5573333333333333
faster_rcnn,42,0.42,0.5186567164179104,410,0.5466666666666666
faster_rcnn,42,0.43,0.5149253731343284,393,0.524
faster_rcnn,42,0.44,0.5111940298507462,387,0.516
faster_rcnn,42,0.45,0.5111940298507462,383,0.5106666666666667
faster_rcnn,42,0.46,0.5074626865671642,374,0.49866666666666665
faster_rcnn,42,0.47,0.5074626865671642,364,0.48533333333333334
faster_rcnn,42,0.48,0.503731343283582,358,0.47733333333333333
faster_rcnn,42,0.49,0.5,349,0.4653333333333333
faster_rcnn,42,0.5,0.4962686567164179,347,0.46266666666666667
faster_rcnn,42,0.51,0.4925373134328358,339,0.452
faster_rcnn,42,0.52,0.4925373134328358,333,0.444
faster_rcnn,42,0.53,0.48880597014925375,322,0.42933333333333334
faster_rcnn,42,0.54,0.47761194029850745,315,0.42
faster_rcnn,42,0.55,0.47388059701492535,307,0.4093333333333333
faster_rcnn,42,0.56,0.4664179104477612,303,0.404
faster_rcnn,42,0.57,0.4626865671641791,298,0.3973333333333333
faster_rcnn,42,0.58,0.458955223880597,294,0.392
faster_rcnn,42,0.59,0.45149253731343286,289,0.38533333333333336
faster_rcnn,42,0.6,0.45149253731343286,285,0.38
faster_rcnn,42,0.61,0.45149253731343286,272,0.3626666666666667
faster_rcnn,42,0.62,0.44776119402985076,266,0.3546666666666667
faster_rcnn,42,0.63,0.44776119402985076,261,0.348
faster_rcnn,42,0.64,0.44029850746268656,255,0.34
faster_rcnn,42,0.65,0.4253731343283582,246,0.328
faster_rcnn,42,0.66,0.4216417910447761,234,0.312
faster_rcnn,42,0.67,0.4141791044776119,229,0.30533333333333335
faster_rcnn,42,0.68,0.41044776119402987,224,0.2986666666666667
faster_rcnn,42,0.69,0.40298507462686567,220,0.29333333333333333
faster_rcnn,42,0.7,0.39925373134328357,214,0.2853333333333333
faster_rcnn,42,0.71,0.3843283582089552,203,0.27066666666666667
faster_rcnn,42,0.72,0.373134328358209,196,0.2613333333333333
faster_rcnn,42,0.73,0.373134328358209,184,0.24533333333333332
faster_rcnn,42,0.74,0.3656716417910448,174,0.232
faster_rcnn,42,0.75,0.3656716417910448,169,0.22533333333333333
faster_rcnn,42,0.76,0.34701492537313433,162,0.216
faster_rcnn,42,0.77,0.34328358208955223,147,0.196
faster_rcnn,42,0.78,0.3246268656716418,137,0.18266666666666667
faster_rcnn,42,0.79,0.31343283582089554,129,0.172
faster_rcnn,42,0.8,0.30223880597014924,119,0.15866666666666668
faster_rcnn,42,0.81,0.2947761194029851,104,0.13866666666666666
faster_rcnn,42,0.82,0.291044776119403,94,0.12533333333333332
faster_rcnn,42,0.83,0.2835820895522388,86,0.11466666666666667
faster_rcnn,42,0.84,0.2798507462686567,80,0.10666666666666667
faster_rcnn,42,0.85,0.26119402985074625,68,0.09066666666666667
faster_rcnn,42,0.86,0.2574626865671642,61,0.08133333333333333
faster_rcnn,42,0.87,0.21641791044776118,52,0.06933333333333333
faster_rcnn,42,0.88,0.20149253731343283,44,0.058666666666666666
faster_rcnn,42,0.89,0.19029850746268656,39,0.052
faster_rcnn,42,0.9,0.16044776119402984,34,0.04533333333333334
faster_rcnn,42,0.91,0.15298507462686567,27,0.036
faster_rcnn,42,0.92,0.11940298507462686,18,0.024
faster_rcnn,42,0.93,0.1044776119402985,13,0.017333333333333333
faster_rcnn,42,0.94,0.055970149253731345,11,0.014666666666666666
faster_rcnn,42,0.95,0.033582089552238806,7,0.009333333333333334
faster_rcnn,42,0.96,0.018656716417910446,2,0.0026666666666666666
faster_rcnn,42,0.97,0.007462686567164179,1,0.0013333333333333333
faster_rcnn,42,0.98,0.0,0,0.0
faster_rcnn,42,0.99,0.0,0,0.0
faster_rcnn,137,0.01,0.8843283582089553,7165,9.553333333333333
faster_rcnn,137,0.02,0.8470149253731343,4948,6.597333333333333
faster_rcnn,137,0.03,0.835820895522388,4013,5.350666666666666
faster_rcnn,137,0.04,0.8246268656716418,3432,4.576
faster_rcnn,137,0.05,0.8208955223880597,3049,4.065333333333333
faster_rcnn,137,0.06,0.8097014925373134,2775,3.7
faster_rcnn,137,0.07,0.7798507462686567,2556,3.408
faster_rcnn,137,0.08,0.7798507462686567,2370,3.16
faster_rcnn,137,0.09,0.7723880597014925,2195,2.9266666666666667
faster_rcnn,137,0.1,0.7686567164179104,2051,2.7346666666666666
faster_rcnn,137,0.11,0.7574626865671642,1948,2.5973333333333333
faster_rcnn,137,0.12,0.75,1835,2.4466666666666668
faster_rcnn,137,0.13,0.7425373134328358,1743,2.324
faster_rcnn,137,0.14,0.7276119402985075,1671,2.228
faster_rcnn,137,0.15,0.7238805970149254,1615,2.1533333333333333
faster_rcnn,137,0.16,0.7164179104477612,1548,2.064
faster_rcnn,137,0.17,0.7164179104477612,1484,1.9786666666666666
faster_rcnn,137,0.18,0.7126865671641791,1421,1.8946666666666667
faster_rcnn,137,0.19,0.7089552238805971,1374,1.832
faster_rcnn,137,0.2,0.7052238805970149,1316,1.7546666666666666
faster_rcnn,137,0.21,0.6977611940298507,1269,1.692
faster_rcnn,137,0.22,0.6940298507462687,1227,1.636
faster_rcnn,137,0.23,0.6902985074626866,1177,1.5693333333333332
faster_rcnn,137,0.24,0.6865671641791045,1133,1.5106666666666666
faster_rcnn,137,0.25,0.6865671641791045,1101,1.468
faster_rcnn,137,0.26,0.6865671641791045,1061,1.4146666666666667
faster_rcnn,137,0.27,0.6828358208955224,1021,1.3613333333333333
faster_rcnn,137,0.28,0.6753731343283582,988,1.3173333333333332
faster_rcnn,137,0.29,0.6753731343283582,954,1.272
