detector,selection_split,beta,recall_to_precision_weight,candidate_threshold,canonical_selected_threshold,canonical_selection_rule,f_beta_ci_lower,near_optimal_lcb_tolerance,in_near_optimal_plateau,near_optimal_plateau_start,near_optimal_plateau_end,near_optimal_plateau_width,near_optimal_plateau_candidate_count,bootstrap_selection_count,bootstrap_selection_frequency,bootstrap_resamples,bootstrap_selection_rule,tie_breaker
faster_rcnn,validation,1.0,1.0,0.91,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.92,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.93,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.94,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.95,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.96,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.97,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.98,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.99,0.69,maximum_lower_confidence_bound_f_beta,0.0,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,3.0,9.0,0.01,0.33,maximum_lower_confidence_bound_f_beta,0.2173061007690976,0.01,False,0.27,0.39,0.12,13,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,3.0,9.0,0.02,0.33,maximum_lower_confidence_bound_f_beta,0.26722823577994176,0.01,False,0.27,0.39,0.12,13,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,3.0,9.0,0.03,0.33,maximum_lower_confidence_bound_f_beta,0.2999611480497265,0.01,False,0.27,0.39,0.12,13,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,3.0,9.0,0.04,0.33,maximum_lower_confidence_bound_f_beta,0.3207615435107414,0.01,False,0.27,0.39,0.12,13,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,3.0,9.0,0.05,0.33,maximum_lower_confidence_bound_f_beta,0.3384330437260597,0.01,False,0.27,0.39,0.12,13,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,3.0,9.0,0.06,0.33,maximum_lower_confidence_bound_f_beta,0.349139073929384,0.01,False,0.27,0.39,0.12,13,5,0.0025,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,3.0,9.0,0.07,0.33,maximum_lower_confidence_bound_f_beta,0.36061853930149174,0.01,False,0.27,0.39,0.12,13,12,0.006,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,3.0,9.0,0.08,0.33,maximum_lower_confidence_bound_f_beta,0.3715162872061939,0.01,False,0.27,0.39,0.12,13,2,0.001,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,3.0,9.0,0.09,0.33,maximum_lower_confidence_bound_f_beta,0.37998042295589585,0.01,False,0.27,0.39,0.12,13,1,0.0005,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,3.0,9.0,0.1,0.33,maximum_lower_confidence_bound_f_beta,0.38643494626698444,0.01,False,0.27,0.39,0.12,13,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
