detector,family,corruption,severity,value,unit,metric,clean_performance,corrupted_performance,relative_performance,relative_degradation
faster_rcnn,blur,gaussian_blur,2,1.0,sigma_pixels,map_50_95,0.1478022331883237,0.1313945272491481,0.8889887819335616,0.11101121806643843
faster_rcnn,blur,gaussian_blur,3,1.5,sigma_pixels,precision,0.14392523364485982,0.12271973466003316,0.8526630914690616,0.1473369085309384
faster_rcnn,blur,gaussian_blur,3,1.5,sigma_pixels,recall,0.6936936936936937,0.6666666666666666,0.9610389610389609,0.038961038961039085
faster_rcnn,blur,gaussian_blur,3,1.5,sigma_pixels,f1,0.238390092879257,0.2072829131652661,0.8695114409400122,0.1304885590599878
faster_rcnn,blur,gaussian_blur,3,1.5,sigma_pixels,iou,0.6920036232087895,0.6860340121000197,0.9913734395188728,0.008626560481127199
faster_rcnn,blur,gaussian_blur,3,1.5,sigma_pixels,dice,0.8131556609292098,0.8097474850994771,0.9958087042942823,0.004191295705717746
faster_rcnn,blur,gaussian_blur,3,1.5,sigma_pixels,map_50,0.37771312207151386,0.29933085505396134,0.7924820123069166,0.20751798769308338
faster_rcnn,blur,gaussian_blur,3,1.5,sigma_pixels,map_50_95,0.1478022331883237,0.11311596482982257,0.7653197275151772,0.23468027248482282
faster_rcnn,blur,gaussian_blur,4,2.0,sigma_pixels,precision,0.14392523364485982,0.11532385466034756,0.8012761330296876,0.1987238669703124
faster_rcnn,blur,gaussian_blur,4,2.0,sigma_pixels,recall,0.6936936936936937,0.6576576576576577,0.9480519480519481,0.051948051948051854
faster_rcnn,blur,gaussian_blur,4,2.0,sigma_pixels,f1,0.238390092879257,0.19623655913978497,0.8231741376902667,0.1768258623097333
faster_rcnn,blur,gaussian_blur,4,2.0,sigma_pixels,iou,0.6920036232087895,0.6836579327484159,0.9879398168153007,0.012060183184699258
faster_rcnn,blur,gaussian_blur,4,2.0,sigma_pixels,dice,0.8131556609292098,0.8075167693689709,0.9930654217498834,0.006934578250116563
faster_rcnn,blur,gaussian_blur,4,2.0,sigma_pixels,map_50,0.37771312207151386,0.2858380324792124,0.7567596034566509,0.24324039654334906
faster_rcnn,blur,gaussian_blur,4,2.0,sigma_pixels,map_50_95,0.1478022331883237,0.11106635871629858,0.7514525073161937,0.24854749268380627
