detector,family,severity,metric,corruption_type_count,mean_corrupted_performance,mean_relative_performance,mean_relative_degradation
faster_rcnn,noise,4,dice,2,0.8146934408842612,1.001891126175392,-0.0018911261753919995
faster_rcnn,noise,4,f1,2,0.1519997116666867,0.637609180108309,0.36239081989169103
faster_rcnn,noise,4,iou,2,0.6917462365189433,0.9996280558638512,0.0003719441361488274
faster_rcnn,noise,4,map_50,2,0.15051487420345147,0.3984899263705059,0.601510073629494
faster_rcnn,noise,4,map_50_95,2,0.06273207928388004,0.4244325537622245,0.5755674462377756
faster_rcnn,noise,4,precision,2,0.10134216785592932,0.7041306467911972,0.29586935320880275
faster_rcnn,noise,4,recall,2,0.3783783783783784,0.5454545454545454,0.45454545454545453
faster_rcnn,noise,5,dice,2,0.7962392991916574,0.9791966500999063,0.02080334990009375
faster_rcnn,noise,5,f1,2,0.14229313393937515,0.5968919774340022,0.4031080225659978
faster_rcnn,noise,5,iou,2,0.6674971940977863,0.9645862705207121,0.03541372947928789
faster_rcnn,noise,5,map_50,2,0.12972257304709356,0.34344206083084583,0.6565579391691542
faster_rcnn,noise,5,map_50_95,2,0.04927473778779842,0.33338290447218427,0.6666170955278157
faster_rcnn,noise,5,precision,2,0.09395670373058893,0.6528160583878582,0.3471839416121419
faster_rcnn,noise,5,recall,2,0.36486486486486486,0.525974025974026,0.474025974025974
yolo11s,blur,1,dice,2,0.8181081998758453,1.0046164271509472,-0.004616427150947233
yolo11s,blur,1,f1,2,0.26342351286506166,1.0536940514602466,-0.05369405146024664
yolo11s,blur,1,iou,2,0.6987529496278051,1.0067309356565897,-0.006730935656589554
yolo11s,blur,1,map_50,2,0.20994880458185577,0.9936720861930242,0.006327913806975782
yolo11s,blur,1,map_50_95,2,0.07275812199898785,0.9536453170815131,0.04635468291848682
yolo11s,blur,1,precision,2,0.46023302938196553,0.9931344318242414,0.0068655681757586184
yolo11s,blur,1,recall,2,0.18468468468468469,1.0789473684210527,-0.07894736842105265
yolo11s,blur,2,dice,2,0.8146050992419738,1.0003147071055007,-0.00031470710550074443
yolo11s,blur,2,f1,2,0.23413461538461539,0.9365384615384615,0.06346153846153846
yolo11s,blur,2,iou,2,0.6935162579328444,0.9991861524358234,0.0008138475641766285
yolo11s,blur,2,map_50,2,0.20524593868127344,0.9714137714585114,0.02858622854148868
yolo11s,blur,2,map_50_95,2,0.0687027115862753,0.9004907957350068,0.09950920426499321
yolo11s,blur,2,precision,2,0.39387755102040817,0.8499462943071965,0.15005370569280346
yolo11s,blur,2,recall,2,0.16666666666666669,0.9736842105263158,0.02631578947368418
yolo11s,blur,3,dice,2,0.8270510791526946,1.0155980594447125,-0.015598059444712487
yolo11s,blur,3,f1,2,0.23170731707317074,0.926829268292683,0.07317073170731703
yolo11s,blur,3,iou,2,0.7117025533356875,1.025388125818238,-0.025388125818237905
yolo11s,blur,3,map_50,2,0.16356667912488165,0.7741489340765337,0.2258510659234662
yolo11s,blur,3,map_50_95,2,0.059679668045776596,0.7822251920909367,0.21777480790906334
yolo11s,blur,3,precision,2,0.3584905660377358,0.7735849056603773,0.2264150943396227
yolo11s,blur,3,recall,2,0.17117117117117117,1.0,0.0
yolo11s,blur,4,dice,2,0.8267213566039631,1.015193168393739,-0.015193168393738854
yolo11s,blur,4,f1,2,0.23282007413743944,0.9312802965497577,0.06871970345024231
yolo11s,blur,4,iou,2,0.7110666481811371,1.0244719430793021,-0.024471943079302116
yolo11s,blur,4,map_50,2,0.17229007272211921,0.8154361075458655,0.18456389245413451
yolo11s,blur,4,map_50_95,2,0.06071969669224174,0.7958569134861907,0.2041430865138093
yolo11s,blur,4,precision,2,0.3450814536340852,0.7446494525788154,0.2553505474211846
yolo11s,blur,4,recall,2,0.17567567567567566,1.026315789473684,-0.02631578947368418
yolo11s,blur,5,dice,2,0.8284791649628944,1.0173517131356613,-0.017351713135661417
yolo11s,blur,5,f1,2,0.17263992679579077,0.6905597071831631,0.30944029281683694
yolo11s,blur,5,iou,2,0.7129474777996812,1.0271817554138276,-0.027181755413827724
yolo11s,blur,5,map_50,2,0.13454093312598592,0.6367722358025196,0.3632277641974803
yolo11s,blur,5,map_50_95,2,0.048554851574939176,0.6364115174203208,0.36358848257967924
yolo11s,blur,5,precision,2,0.2746615087040619,0.5926906240456072,0.40730937595439276
yolo11s,blur,5,recall,2,0.12612612612612611,0.736842105263158,0.2631578947368421
yolo11s,compression,1,dice,1,0.8156498485840631,1.0015976331921446,-0.0015976331921445652
yolo11s,compression,1,f1,1,0.261437908496732,1.045751633986928,-0.04575163398692794
yolo11s,compression,1,iou,1,0.694998269168434,1.0013213656877364,-0.0013213656877364421
yolo11s,compression,1,map_50,1,0.2084439794392217,0.9865498606494445,0.013450139350555501
yolo11s,compression,1,map_50_95,1,0.07297738029369141,0.9565191494486851,0.0434808505513149
yolo11s,compression,1,precision,1,0.47619047619047616,1.0275689223057642,-0.027568922305764243
yolo11s,compression,1,recall,1,0.18018018018018017,1.0526315789473684,-0.05263157894736836
yolo11s,compression,2,dice,1,0.816417335244092,1.002540087633258,-0.0025400876332579703
