detector,threshold,seed_count,precision,precision_std,precision_mean_plus_minus_std,recall,recall_std,recall_mean_plus_minus_std,f1,f1_std,f1_mean_plus_minus_std
yolo11s,0.02,3,0.2774808022178962,0.03114918951541903,0.277481 ± 0.0311492,0.2960199004975124,0.04024549673473492,0.29602 ± 0.0402455,0.28356752066930485,0.009430193598603856,0.283568 ± 0.00943019
yolo11s,0.03,3,0.29295204295204297,0.021539826783549394,0.292952 ± 0.0215398,0.27363184079601993,0.036812558674001836,0.273632 ± 0.0368126,0.28100514885667893,0.013766800085431685,0.281005 ± 0.0137668
yolo11s,0.04,3,0.30553429376259206,0.02441362715822512,0.305534 ± 0.0244136,0.25870646766169153,0.03039002916136968,0.258706 ± 0.03039,0.2787666008692509,0.0166863838687229,0.278767 ± 0.0166864
yolo11s,0.05,3,0.3095612153438674,0.013404690450672921,0.309561 ± 0.0134047,0.24378109452736316,0.03016008868901029,0.243781 ± 0.0301601,0.27175016035243316,0.01811032099731595,0.27175 ± 0.0181103
yolo11s,0.06,3,0.3102786479483312,0.01715033542861375,0.310279 ± 0.0171503,0.2263681592039801,0.018406279337000918,0.226368 ± 0.0184063,0.261077755443317,0.009756577992823532,0.261078 ± 0.00975658
yolo11s,0.07,3,0.3178657307709211,0.01376662480767884,0.317866 ± 0.0137666,0.22014925373134328,0.01626454829679356,0.220149 ± 0.0162645,0.25972158414366336,0.01094795727230268,0.259722 ± 0.010948
yolo11s,0.08,3,0.32756398667476594,0.017120682694534855,0.327564 ± 0.0171207,0.21641791044776118,0.01709916304088001,0.216418 ± 0.0170992,0.26030447548568775,0.014523736048545491,0.260304 ± 0.0145237
yolo11s,0.09,3,0.3378065142903431,0.024830836733175418,0.337807 ± 0.0248308,0.2126865671641791,0.01709916304087999,0.212687 ± 0.0170992,0.2607906202978681,0.018144451738102807,0.260791 ± 0.0181445
yolo11s,0.1,3,0.34188034188034183,0.014803853056144262,0.34188 ± 0.0148039,0.20522388059701493,0.013453549535313388,0.205224 ± 0.0134535,0.25629155578196094,0.01216411418207004,0.256292 ± 0.0121641
yolo11s,0.11,3,0.3433593251605021,0.007735450038071897,0.343359 ± 0.00773545,0.1990049751243781,0.00939034133740143,0.199005 ± 0.00939034,0.2519004084254459,0.008553389651399847,0.2519 ± 0.00855339
yolo11s,0.12,3,0.3415544187356268,0.011132631161437938,0.341554 ± 0.0111326,0.1902985074626866,0.009872206384569366,0.190299 ± 0.00987221,0.2443459913242798,0.009893339897755746,0.244346 ± 0.00989334
yolo11s,0.13,3,0.3515936073286534,0.024133057214895233,0.351594 ± 0.0241331,0.1853233830845771,0.015080044344505151,0.185323 ± 0.01508,0.2425906923630854,0.017371235663027233,0.242591 ± 0.0173712
yolo11s,0.14,3,0.3504821781503442,0.03264059099366617,0.350482 ± 0.0326406,0.1778606965174129,0.02055063637047052,0.177861 ± 0.0205506,0.23580603788261154,0.024229376070196765,0.235806 ± 0.0242294
yolo11s,0.15,3,0.35303581534481365,0.03308825492042176,0.353036 ± 0.0330883,0.17412935323383083,0.016825558779189898,0.174129 ± 0.0168256,0.2330907425314265,0.02107752157419733,0.233091 ± 0.0210775
yolo11s,0.16,3,0.37034678683385575,0.03691827116356957,0.370347 ± 0.0369183,0.17288557213930347,0.016825558779189898,0.172886 ± 0.0168256,0.23556818181818184,0.021719546352438838,0.235568 ± 0.0217195
yolo11s,0.17,3,0.37126245847176076,0.032952715230960154,0.371262 ± 0.0329527,0.1691542288557214,0.015534820891538308,0.169154 ± 0.0155348,0.2322220285591038,0.01935361437520158,0.232222 ± 0.0193536
yolo11s,0.18,3,0.37756483269779956,0.038769538300139385,0.377565 ± 0.0387695,0.16791044776119404,0.016264548296793566,0.16791 ± 0.0162645,0.23210301685644788,0.020070373024686488,0.232103 ± 0.0200704
yolo11s,0.19,3,0.3772128060263653,0.038010186493802806,0.377213 ± 0.0380102,0.16293532338308458,0.010771460246075107,0.162935 ± 0.0107715,0.22730745266379412,0.015272009978408824,0.227307 ± 0.015272
yolo11s,0.2,3,0.3788924787215564,0.03756600275011787,0.378892 ± 0.037566,0.1592039800995025,0.007767410445769159,0.159204 ± 0.00776741,0.22385492482610905,0.011021890625448463,0.223855 ± 0.0110219
yolo11s,0.21,3,0.3755619480727706,0.03895691261908401,0.375562 ± 0.0389569,0.1517412935323383,0.007767410445769148,0.151741 ± 0.00776741,0.21583122844865588,0.01177141304293701,0.215831 ± 0.0117714
yolo11s,0.22,3,0.3740515724489198,0.03771132199086255,0.374052 ± 0.0377113,0.14427860696517414,0.005699721013626656,0.144279 ± 0.00569972,0.20773005686447035,0.0047040326558049775,0.20773 ± 0.00470403
yolo11s,0.23,3,0.3749236874236874,0.03601848508948853,0.374924 ± 0.0360185,0.1417910447761194,0.007462686567164173,0.141791 ± 0.00746269,0.2051779596218616,0.004208512655128715,0.205178 ± 0.00420851
yolo11s,0.24,3,0.3750816128507344,0.0413737446578089,0.375082 ± 0.0413737,0.13930348258706468,0.007767410445769159,0.139303 ± 0.00776741,0.20252452345022123,0.006984297612590073,0.202525 ± 0.0069843
yolo11s,0.25,3,0.3730118134210206,0.03945454804339639,0.373012 ± 0.0394545,0.13557213930348258,0.00939034133740143,0.135572 ± 0.00939034,0.19806164950113828,0.004763495920599446,0.198062 ± 0.0047635
yolo11s,0.26,3,0.36853323589415665,0.030759922548732575,0.368533 ± 0.0307599,0.13059701492537312,0.013453549535313395,0.130597 ± 0.0134535,0.191976911976912,0.00995532959877653,0.191977 ± 0.00995533
yolo11s,0.27,3,0.3656708142036507,0.025878295765665738,0.365671 ± 0.0258783,0.12313432835820896,0.019388628442935193,0.123134 ± 0.0193886,0.1831991865181757,0.018746462546010808,0.183199 ± 0.0187465
